16986:	   Output Transition Time: 0
17000:	   Output Transition Time: 0
17011:	   Output Transition Time: 0
17022:	   Output Transition Time: 0
17033:	   Output Transition Time: 0
17043:	   Output Transition Time: 0
17054:	   Output Transition Time: 0
17065:	   Output Transition Time: 0
1707: 	   Output Transition Time: 0
17090:	   Output Transition Time: 0
17122:	   Output Transition Time: 0
17133:	   Output Transition Time: 0
17144:	   Output Transition Time: 0
17158:	   Output Transition Time: 0
17169:	   Output Transition Time: 0
17201:	   Output Transition Time: 0
17212:	   Output Transition Time: 0
17223:	   Output Transition Time: 0
17237:	   Output Transition Time: 0
17248:	   Output Transition Time: 0
17259:	   Output Transition Time: 0
17270:	   Output Transition Time: 0
17280:	   Output Transition Time: 0
1728: 	   Output Transition Time: 0
17291:	   Output Transition Time: 0
17302:	   Output Transition Time: 0
17338:	   Output Transition Time: 0
17395:	   Output Transition Time: 0
17406:	   Output Transition Time: 0
17438:	   Output Transition Time: 0
17474:	   Output Transition Time: 0
17485:	   Output Transition Time: 0
17517:	   Output Transition Time: 0
17528:	   Output Transition Time: 0
17539:	   Output Transition Time: 0
17553:	   Output Transition Time: 0
17564:	   Output Transition Time: 0
17586:	   Output Transition Time: 0
17596:	   Output Transition Time: 0
17607:	   Output Transition Time: 0
17618:	   Output Transition Time: 0
17643:	   Output Transition Time: 0
17665:	   Output Transition Time: 0
17675:	   Output Transition Time: 0
17733:	   Output Transition Time: 0
1775: 	   Output Transition Time: 0
17765:	   Output Transition Time: 0
17790:	   Output Transition Time: 0
17801:	   Output Transition Time: 0
17833:	   Output Transition Time: 0
17844:	   Output Transition Time: 0
17855:	   Output Transition Time: 0
17869:	   Output Transition Time: 0
17880:	   Output Transition Time: 0
17912:	   Output Transition Time: 0
17948:	   Output Transition Time: 0
17959:	   Output Transition Time: 0
17970:	   Output Transition Time: 0
17981:	   Output Transition Time: 0
17991:	   Output Transition Time: 0
18027:	   Output Transition Time: 0
18049:	   Output Transition Time: 0
18060:	   Output Transition Time: 0
1807: 	   Output Transition Time: 0
18092:	   Output Transition Time: 0
18106:	   Output Transition Time: 0
18117:	   Output Transition Time: 0
18149:	   Output Transition Time: 0
18185:	   Output Transition Time: 0
1818: 	   Output Transition Time: 0
